relative_path,type,visibility,faction,status,aliases
Published\CODEX\Security\Report Heretical Symbols or Markings.md,handout,player,,stub,
Published\CODEX\Security\Report Psychic Phenomenon.md,handout,player,,stub,
Published\CODEX\Security\Request Artifact Containment.md,handout,player,,stub,
Published\CODEX\Security\Request Form for Combat Servitor Deployment.md,handout,player,,stub,
Published\CODEX\Security\Request Ration Resupply.md,handout,player,,stub,
Published\CODEX\Security\Request Shuttle Deployment.md,handout,player,,complete,
Published\CODEX\Security\Requisition Protocol Laspistol Standard Issue.md,handout,player,,stub,
Published\CODEX\Security\Reroute Non-Critical Energy.md,handout,player,,stub,
Published\CODEX\Security\Restricted Weapons Permit - Temporary.md,handout,player,,stub,
Published\CODEX\Security\Sealed Cargo Containers Override.md,handout,player,,stub,
Published\CODEX\Security\Submit Field Xeno Tech Notes.md,handout,player,,stub,
Published\CODEX\Security\Temporary Override Local Security Door.md,handout,player,,stub,
